id,,imdb_title_id,title,original_title,year,genre,country,language,votes
283,,tt10411954,Hometown Killer,Hometown Killer,2018,Thriller,USA,English,141
284,,tt3277446,As Worlds Collide,As Worlds Collide,2018,Thriller,USA,"French, English",199
285,,tt3486210,Relentless,Relentless,2018,Thriller,"USA, El Salvador",English,326
286,,tt3517306,Welcome to Curiosity,Welcome to Curiosity,2018,Thriller,UK,English,905
287,,tt5396646,The Martyr Maker,The Martyr Maker,2018,Thriller,USA,English,117
288,,tt5468130,Havana Darkness,Havana Darkness,2018,Thriller,USA,"English, Spanish",494
289,,tt5478700,Dagenham,Dagenham,2018,Thriller,UK,English,121
290,,tt8084572,Intensive Care,Intensive Care,2018,Thriller,USA,English,163
291,,tt8085616,Shohrat the Trap,Shohrat the Trap,2018,Thriller,India,Hindi,101
292,,tt8105846,His Perfect Obsession,His Perfect Obsession,2018,Thriller,Canada,English,170
293,,tt8145968,Tutto quello che non so di lui,Her Boyfriend's Secret,2018,Thriller,USA,English,223
294,,tt9460430,Bagh bandi khela,Bagh bandi khela,2018,Thriller,India,Bengali,159
295,,tt9855990,Nightmare Tenant,Nightmare Tenant,2018,Thriller,USA,English,160
